Source,Target,Weight,Type
Renly Baratheon,Tyene Sand,0.0,Undirected
Gilly,Tormund Giantsbane,1.3862943611198906,Undirected
Jon Snow,Petyr Baelish,3.871201010907891,Undirected
Bran Stark,Gendry,5.278114659230517,Undirected
Bran Stark,Maggy the Frog,0.0,Undirected
Bran Stark,Olenna Tyrell,1.3862943611198906,Undirected
Cersei Lannister,Maggy the Frog,0.6931471805599453,Undirected
Daenerys Targaryen,Gendry,2.772588722239781,Undirected
Daenerys Targaryen,Maggy the Frog,0.0,Undirected
Gendry,Maggy the Frog,0.0,Undirected
Gendry,Olenna Tyrell,0.0,Undirected
Maggy the Frog,Olenna Tyrell,0.0,Undirected
Bronn,Dickon Tarly,1.3862943611198906,Undirected
Arya Stark,Samwell Tarly,1.9459101490553132,Undirected
Arya Stark,Meryn Trant,0.0,Undirected
Brienne of Tarth,Meryn Trant,0.0,Undirected
Daenerys Targaryen,Meryn Trant,0.0,Undirected
Jaime Lannister,Meryn Trant,0.0,Undirected
Mace Tyrell,Olenna Tyrell,0.0,Undirected
Mace Tyrell,Tywin Lannister,0.0,Undirected
Olenna Tyrell,Tywin Lannister,0.0,Undirected
Bran Stark,Meera Reed,2.1972245773362196,Undirected
Bran Stark,Stannis Baratheon,0.0,Undirected
Bran Stark,Tormund Giantsbane,3.5553480614894135,Undirected
Bran Stark,Xaro Xhoan Daxos,0.0,Undirected
Daenerys Targaryen,Meera Reed,0.0,Undirected
Daenerys Targaryen,Stannis Baratheon,1.3862943611198906,Undirected
Daenerys Targaryen,Xaro Xhoan Daxos,0.0,Undirected
Meera Reed,Stannis Baratheon,0.0,Undirected
Meera Reed,Tormund Giantsbane,0.0,Undirected
Meera Reed,Xaro Xhoan Daxos,0.0,Undirected
Stannis Baratheon,Tormund Giantsbane,0.0,Undirected
Stannis Baratheon,Xaro Xhoan Daxos,0.0,Undirected
Tormund Giantsbane,Xaro Xhoan Daxos,0.0,Undirected
Arya Stark,Hot Pie,1.9459101490553132,Undirected
Bran Stark,Hot Pie,1.0986122886681098,Undirected
Arya Stark,Jaqen H'ghar,1.791759469228055,Undirected
Arya Stark,Podrick Payne,2.3978952727983707,Undirected
Arya Stark,Syrio Forel,0.6931471805599453,Undirected
Arya Stark,Theon Greyjoy,6.025865973825314,Undirected
Arya Stark,Yara Greyjoy,2.302585092994046,Undirected
Jaqen H'ghar,Podrick Payne,0.0,Undirected
Jaqen H'ghar,Syrio Forel,2.0794415416798357,Undirected
Jaqen H'ghar,Theon Greyjoy,0.0,Undirected
Jaqen H'ghar,Tywin Lannister,0.0,Undirected
Jaqen H'ghar,Yara Greyjoy,0.0,Undirected
Podrick Payne,Syrio Forel,0.0,Undirected
Podrick Payne,Theon Greyjoy,3.1354942159291497,Undirected
Podrick Payne,Tywin Lannister,0.0,Undirected
Podrick Payne,Yara Greyjoy,1.3862943611198906,Undirected
Syrio Forel,Theon Greyjoy,0.0,Undirected
Syrio Forel,Tywin Lannister,0.0,Undirected
Syrio Forel,Yara Greyjoy,0.0,Undirected
Theon Greyjoy,Tywin Lannister,0.6931471805599453,Undirected
Tywin Lannister,Yara Greyjoy,0.0,Undirected
Brienne of Tarth,Hot Pie,0.0,Undirected
Brienne of Tarth,Podrick Payne,3.9889840465642745,Undirected
Brienne of Tarth,Thoros of Myr,1.0986122886681098,Undirected
Hot Pie,Jon Snow,2.5649493574615367,Undirected
Hot Pie,Podrick Payne,0.6931471805599453,Undirected
Hot Pie,Thoros of Myr,0.0,Undirected
Jon Snow,Podrick Payne,2.8903717578961645,Undirected
Jon Snow,Thoros of Myr,1.0986122886681098,Undirected
Podrick Payne,Thoros of Myr,0.0,Undirected
Hodor,Jon Snow,1.791759469228055,Undirected
Arya Stark,Dickon Tarly,0.0,Undirected
Arya Stark,Randyll Tarly,0.0,Undirected
Brienne of Tarth,Dickon Tarly,0.0,Undirected
Brienne of Tarth,Randyll Tarly,0.0,Undirected
Bronn,Podrick Payne,5.786897381366708,Undirected
Bronn,Randyll Tarly,0.0,Undirected
Dickon Tarly,Podrick Payne,0.0,Undirected
Dickon Tarly,Randyll Tarly,1.0986122886681098,Undirected
Dickon Tarly,Tyrion Lannister,0.0,Undirected
Podrick Payne,Randyll Tarly,0.0,Undirected
Podrick Payne,Tyrion Lannister,5.697093486505405,Undirected
Randyll Tarly,Tyrion Lannister,0.0,Undirected
Bronn,Gendry,2.1972245773362196,Undirected
Bronn,Sandor Clegane,2.5649493574615367,Undirected
Gendry,Podrick Payne,2.1972245773362196,Undirected
Gendry,Sandor Clegane,1.791759469228055,Undirected
Podrick Payne,Sandor Clegane,2.4849066497880004,Undirected
Gendry,Lyanna Stark,0.6931471805599453,Undirected
Gendry,Sansa Stark,2.995732273553991,Undirected
Lyanna Stark,Sansa Stark,3.1354942159291497,Undirected
Robert Baratheon,Sansa Stark,1.6094379124341003,Undirected
